Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2017,Jamal Adams,LSU,S,72,214,9.25,33.38,,4.56,18,31.5,120,6.96,,
2017,Montravius Adams,Auburn,DT,76,304,9.25,32.75,,4.87,22,29,108,7.62,,
2017,Rodney Adams,South Florida,WR,73,189,9,32,,4.44,8,29.5,125,6.98,4.32,
2017,Quincy Adeboyejo,Mississippi,WR,75,197,9.38,31.75,,4.42,8,34.5,123,6.73,,
2017,Brian Allen,Utah,DB,75,215,10,34,,4.48,15,34.5,117,6.64,,
2017,Jonathan Allen,Alabama,DE,75,286,9.38,33.63,,5,21,30,108,7.49,4.44,
2017,Ryan Anderson,Alabama,OLB,74,253,9.38,31.5,,4.78,,,,,,
2017,Gavin Andrews,Oregon St.,OG,77,340,,,,,,,,,5.09,
2017,Alex Anzalone,Florida,LB,75,241,9.13,32.13,,4.63,16,30.5,116,6.88,,
2017,Isaac Asiata,Utah,OG,75,323,10.38,33.75,,5.34,35,25.5,102,7.83,5,
2017,Antony Auclair,none (CFL),TE,78,254,,,,,,,,,4.45,12.08
2017,Erik Austell,Charleston Southern,OT,75,301,9,32,,5.23,24,27.5,107,8.13,,
2017,Chidobe Awuzie,Colorado,CB,72,202,8.5,30.63,,4.43,16,34.5,132,6.81,4.18,
2017,Budda Baker,Washington,S,70,195,9,30.75,,4.45,15,32.5,115,6.76,4.68,
2017,Toby Baker,Arkansas,P,75,210,9.25,31.63,,,,,,,,
2017,Zach Banner,USC,OT,80,353,10.75,34.88,,5.58,22,23.5,92,8.31,4.58,
2017,Derek Barnett,Tennessee,DE,75,259,10,32.13,,4.88,,31,117,6.96,4.44,11.71
2017,Tarell Basham,Ohio,DE,76,269,10.25,34.25,,4.7,15,31.5,119,7.27,4.44,
2017,C.J. Beathard,Iowa,QB,74,219,9.38,30.63,,,,31,113,,,
2017,Kendell Beckwith,LSU,ILB,74,243,9.5,33,,,20,,,,,
2017,Collin Bevins,Northwest Missouri St.,DE,78,285,,,,,,,,,4.39,
2017,Vince Biegel,Wisconsin,OLB,75,246,9.13,32.38,,4.67,21,33.5,118,6.92,,
2017,Adam Bisnowaty,Pittsburgh,OT,78,304,11.38,33.88,,5.23,23,29.5,96,8.02,4.9,
2017,Victor Bolden,Oregon St.,WR,68,178,9,31.13,,4.54,9,32,117,6.83,4,11.14
2017,Garett Bolles,Utah,OT,77,297,9.38,34,,4.95,,28,115,7.29,,
2017,Ben Boulware,Clemson,ILB,72,238,10,30.5,,,20,29.5,111,7.02,,
2017,Kendrick Bourne,Eastern Washington,WR,73,203,9.13,32.5,,4.68,9,34,125,6.73,4.55,12.21
2017,Tashawn Bower,LSU,DE,77,250,9.88,33.38,,4.82,20,31.5,121,7.2,4.38,
2017,Tyus Bowser,Houston,LB,75,247,10.13,33.25,,4.65,21,37.5,127,6.75,4.29,
2017,Ben Braden,Michigan,OG,78,329,9.88,34,,5.04,25,28,102,7.85,,
2017,Caleb Brantley,Florida,DT,75,307,9.75,32,,5.14,21,27,105,7.66,4.5,
2017,Billy Brown,Shepherd,WR,76,255,10.38,33,,4.7,23,29,118,,4.14,11.75
2017,Blair Brown,Ohio,LB,71,238,9.38,31.25,,4.65,,37,124,6.92,,
2017,Fadol Brown,Mississippi,DE,76,273,10.25,35,,4.94,19,34,115,7.24,,
2017,Jayon Brown,UCLA,LB,72,231,9.63,31.38,,4.7,17,31.5,120,,,
2017,Noah Brown,Ohio St.,WR,74,222,9.13,31.75,,,19,,,7.07,4.29,
2017,Pharaoh Brown,Oregon,TE,78,255,10.38,35.63,,,24,34,,,4.62,
2017,Daniel Brunskill,San Diego St.,OT,77,273,9.88,33.88,,,17,28,106,7.9,,
2017,Collin Buchanan,Miami (OH),OL,77,316,10.5,32.38,,,23,25,97,,4.75,
2017,Riley Bullough,Michigan St.,LB,74,226,9.88,31.25,,,20,31.5,116,,4.38,11.91
2017,Harrison Butker,Georgia Tech,K,76,199,8.75,31.75,,,,,,,,
2017,Jake Butt,Michigan,TE,77,246,10,32,,,,,,,,
2017,KD Cannon,Baylor,WR,71,182,8.88,30.75,,4.41,13,37,119,,4.2,
2017,Josh Carraway,TCU,DE,75,242,9.25,34.25,,4.74,25,29.5,120,7.2,4.42,12.48
2017,Christopher Carson,Oklahoma St.,RB,72,218,9.63,33.25,,4.58,23,37,130,,,
2017,Cethan Carter,Nebraska,TE,75,241,9,32.38,,4.68,19,,,,4.47,
2017,Jamal Carter,Miami,S,73,218,9.38,31,,4.64,19,35,122,,4.28,
2017,Taco Charlton,Michigan,DE,78,277,9.75,34.25,,4.92,25,33,116,7.17,,
2017,Jehu Chesson,Michigan,WR,75,204,9.13,33.25,,4.47,10,35.5,132,6.7,4.21,
2017,Chuck Clark,Virginia Tech,DB,72,208,9,32.25,,4.54,16,34,122,6.85,4.14,11.62
2017,Jeremy Clark,Michigan,CB,75,220,9.38,32.88,,,20,,,,4.5,
2017,Corey Clement,Wisconsin,RB,70,220,9.75,30.5,,4.68,19,28.5,115,,4.53,
2017,Chunky Clements,Illinois,DT,74,301,10.38,32.88,,,23,,,,4.96,
2017,Tarik Cohen,North Carolina A&T,RB,66,179,10.13,29.75,,4.42,11,31.5,118,,,
2017,Stacy Coley,Miami,WR,72,195,9.75,32.25,,4.45,10,34,122,,4.39,
2017,Aviante Collins,TCU,OT,76,295,9.38,33.38,,4.81,34,,,,4.73,
2017,Gareon Conley,Ohio St.,CB,72,195,9.5,33,,4.44,11,37,129,6.68,4.19,
